"idClinic";"clinicName";"address";"villageCode";"phoneNumber";"longitude";"latitude";"link";"firstlyAttendedBy";"socioeconomicLevel";"sizeLevel"
155;C.S. GENERAL RICARDOS;CALLE DEL GENERAL RICARDOS, 131;"1228079";;0;0;;3;2;1
156;C.S. GETAFE NORTE;AVDA RIGOBERTA MENCHÚ, 2;"1228065";;0;0;;3;2;3
157;C.S. GOYA;CALLE DE O'DÓNNELL, 55;"1228079";;0;0;;2;1;1
158;C.S. GREGORIO MARAÑÓN;CALLE DE LOS ESCOLARES, 1;"1228007";;0;0;;3;2;2
159;C.S. GRIÑÓN;CALLE EL CALVARIO, 1;"1228066";;0;0;;3;2;2
160;C.S. GUADARRAMA;CALLE DE LOS REYES CATÓLICOS, 2;"1228068";;0;0;;4;2;1
161;C.S. GUAYABA;CALLE DE ANTONIA RODRÍGUEZ SACRISTÁN, 4;"1228079";;0;0;;3;2;1
162;C.S. Sant Agustí;AV. DIPUTACIÓ, S/N;"1712040";;0;0;;6;0;0
163;C.S. GUZMÁN EL BUENO;CALLE DE GUZMÁN EL BUENO, 11;"1228079";;0;0;;4;1;2
164;C.S. HUERTA DE LOS FRAILES;AVDA DE LOS PINOS, 30;"1228074";;0;0;;3;2;3
165;C.S. HUMANES;CALLE FERROCARRIL, 4;"1228073";;0;0;;3;2;2
166;CAP CANALETES;PLAZA D'HORTA 17;"0908266";;0;0;;1;1;2
167;C.S. IBIZA;CALLE DE IBIZA, 7;"1228079";;0;0;;2;1;1
168;CAP FONTETES;PLAZA VELAZQUEZ PINEDA S/N;"0908266";;0;0;;1;2;3
169;C.S. INFANTA MERCEDES;CALLE DE LA INFANTA MERCEDES, 7;"1228079";;0;0;;4;1;1
170;CAP LA FARIGOLA;CTRA. BARCELONA, 147-149;"0908266";;0;0;;1;1;2
171;C.S. ISABEL II;CALLE ISABEL II, 15;"1228106";;0;0;;3;2;1
172;C.S. ISLA DE OZA;CALLE DE SAN MARTÍN DE PORRES, 6;"1228079";;0;0;;4;1;2
173;C.S. JAIME VERA - COSLADA;AVDA DE ESPAÑA, 130;"1228049";;0;0;;2;2;3
174;C.S. JAIME VERA - LEGANÉS;AVDA EUROPA, 1;"1228074";;0;0;;3;2;1
175;C.S. JAZMÍN;CALLE DEL JAZMÍN, 33;"1228079";;0;0;;4;1;2
176;C.S. JOAQUÍN RODRIGO;CALLE DE MARIANO VELA, 62;"1228079";;0;0;;3;3;2
177;C.S. JOSÉ MARÍA LLANOS;CALLE DEL CABO MACHICHACO, 62;"1228079";;0;0;;3;3;2
178;C.S. JOSÉ MARVA;CALLE DE BRAVO MURILLO, 317;"1228079";;0;0;;4;1;2
179;C.S. JUAN DE AUSTRIA;AVDA JUAN DE AUSTRIA, 19;"1228005";;0;0;;2;1;1
180;C.S. JUAN DE LA CIERVA;AVDA JUAN DE LA CIERVA S/N;"1228065";;0;0;;3;2;1
181;CAP SERRAPARERA;AVDA. DIAGONAL S/N;"0908266";;0;0;;1;2;2
182;C.S. JUNCAL;AVDA MADRID, 39;"1228148";;0;0;;2;1;2
183;C.S. JUSTICIA;CALLE DE REGUEROS, 3;"1228079";;0;0;;4;2;2
184;C.S. LA CHOPERA;PASEO DE LA CHOPERA, 48;"1228006";;0;0;;4;2;1
185;CAP CERVELLO;C/ ANSELM CLAVÉ, S/N;"0908068";;0;0;;5;1;3
186;C.S. LA GARENA;CALLE ARTURO SORIA, 10;"1228005";;0;0;;2;1;3
